"Id","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15"
"612",1,210,26,1,2,4,16,0,0,1,0,2,86,4,"0"
"158",1,218,29,2,10,4,2,0,0,1,0,2,38,6,"0"
"636",1,60,38,1,4,4,58,1,1,2,0,2,63,21,"0"
"84",1,238,102,2,3,5,6,0,0,1,0,2,158,1,"0"
"660",1,85,22,2,8,4,5,0,0,1,0,2,32,1,"1"
"656",0,98,180,2,2,4,26,0,0,1,1,2,63,153,"0"
"357",1,163,17,2,8,5,23,1,0,1,1,1,107,1,"0"
"263",0,61,173,2,8,4,7,0,0,1,1,2,63,1,"0"
"406",0,136,85,2,8,4,28,1,1,2,1,2,121,1,"1"
"443",1,105,184,2,13,4,14,0,0,1,0,2,1,3,"0"
"477",1,12,12,1,4,4,8,0,0,1,0,1,69,1,"0"
"120",1,290,136,2,8,8,119,1,1,10,0,2,64,177,"1"
"551",1,331,70,2,9,4,43,1,1,6,1,2,18,39,"1"
"35",1,259,40,2,7,4,123,0,1,2,1,2,115,54,"0"
"571",1,124,26,2,11,8,5,0,0,1,1,2,77,88,"0"
"516",0,163,82,2,2,4,65,1,0,1,1,2,102,1,"0"
"630",1,92,18,2,7,4,26,0,0,1,1,2,38,2,"0"
"281",1,190,70,2,3,5,58,0,0,1,1,2,84,77,"0"
"16",1,284,116,2,4,4,2,0,0,1,0,2,1,196,"1"
"405",1,32,1,2,11,4,18,0,0,1,0,2,53,2,"0"
"407",1,192,92,2,3,5,71,1,1,3,0,2,96,126,"1"
"127",0,327,151,2,11,4,76,1,1,15,0,2,1,176,"1"
"508",1,18,151,2,9,8,5,0,1,2,0,2,38,2,"0"
"309",0,72,26,2,8,4,47,0,1,3,1,2,69,107,"0"
"130",1,52,73,1,2,4,28,1,1,9,1,2,53,2,"1"
"618",0,123,73,2,7,4,64,0,1,2,1,2,98,11,"0"
"277",0,323,12,2,3,5,26,1,0,1,1,2,88,187,"0"
"627",0,134,50,2,11,4,56,1,0,1,1,2,141,1,"0"
"637",1,91,40,2,8,4,7,0,0,1,0,2,35,1,"0"
"683",0,75,170,2,13,4,2,1,0,1,0,2,24,169,"1"
"183",1,103,180,2,13,4,30,1,1,23,1,2,45,89,"1"
"585",1,54,30,1,8,8,7,0,0,1,0,2,98,78,"0"
"598",1,198,66,2,9,4,1,1,0,1,1,2,85,77,"1"
"320",0,90,183,2,8,5,84,1,1,3,0,2,21,110,"1"
"681",1,54,1,2,8,4,14,0,0,1,1,1,1,1,"0"
"623",0,79,114,2,11,4,70,1,1,11,0,2,38,85,"1"
"37",1,95,180,2,6,4,65,1,0,1,1,1,3,1,"1"
"157",1,22,6,2,11,7,6,0,0,1,0,2,69,32,"1"
"669",0,172,46,2,8,4,7,0,0,1,1,2,122,58,"0"
"555",0,187,48,1,1,1,1,1,0,1,0,2,107,1,"0"
"522",0,25,151,2,9,4,26,0,1,2,0,2,38,2,"0"
"56",1,126,46,2,9,4,47,1,1,12,1,2,140,30,"1"
"24",1,250,52,2,4,4,6,1,0,1,0,2,53,1,"0"
"552",1,101,13,2,7,4,7,1,1,4,0,2,92,234,"1"
"48",1,8,2,2,8,4,2,0,0,1,0,2,1,1,"1"
"85",1,81,33,2,8,4,14,0,0,1,1,1,98,1,"0"
"31",1,118,26,2,8,8,78,1,1,4,1,2,106,66,"1"
"679",1,103,11,1,8,4,37,0,0,1,1,2,53,1,"0"
"93",1,135,193,2,2,4,4,0,0,1,0,2,1,93,"0"
"261",1,10,70,2,6,4,18,0,1,2,0,2,24,22,"0"
"47",0,90,52,1,8,4,5,0,0,1,0,2,43,1,"0"
"91",1,125,41,2,4,8,7,0,0,1,1,1,45,1,"0"
"106",0,95,30,2,14,8,27,1,0,1,1,2,53,220,"1"
"40",0,280,73,2,14,4,123,1,1,3,1,2,155,178,"1"
"96",1,55,46,2,9,4,37,0,0,1,0,2,49,9,"1"
"650",1,135,142,2,11,8,94,1,1,7,0,2,125,71,"1"
"299",1,231,51,2,14,4,4,1,1,6,1,2,149,1,"1"
"262",1,72,160,2,11,8,33,1,0,1,0,2,32,1,"1"
"283",1,266,17,2,7,4,116,1,0,1,0,1,131,1,"0"
"567",0,267,1,2,8,4,58,1,0,1,0,2,1,1,"1"
"241",0,128,196,1,10,9,1,1,0,1,0,2,1,232,"1"
"600",1,216,119,2,7,8,78,1,1,13,1,2,28,1,"1"
"260",1,199,81,2,8,8,109,0,0,1,1,2,1,1,"0"
"297",0,163,46,2,1,1,1,0,1,3,1,2,69,51,"0"
"89",1,190,106,2,9,4,3,0,0,1,1,2,100,7,"1"
"360",1,97,73,2,8,4,31,0,1,2,0,2,1,23,"0"
"658",1,235,49,2,8,4,37,0,0,1,0,2,1,96,"0"
"27",1,70,5,1,4,4,4,0,0,1,0,2,69,44,"0"
"233",1,244,61,1,14,8,115,1,0,1,1,2,61,1,"0"
"399",1,79,182,2,8,4,4,0,1,3,0,2,1,217,"0"
"543",1,264,55,2,7,4,43,1,1,3,1,2,1,16,"1"
"665",1,42,1,2,2,4,14,0,0,1,0,2,47,1,"0"
"601",0,50,145,2,3,4,2,0,0,1,0,2,69,150,"0"
"664",0,108,138,2,6,4,35,1,0,1,0,2,53,66,"1"
"345",1,72,6,2,8,3,52,0,0,1,1,1,1,1,"1"
"452",1,188,95,2,6,4,26,1,0,1,1,2,86,1,"0"
"381",1,230,115,2,7,4,32,1,1,6,1,2,34,155,"1"
"10",0,315,125,2,4,8,100,1,1,4,1,2,32,36,"0"
"142",0,67,40,1,1,1,71,0,0,1,0,2,98,1,"0"
"69",1,160,71,2,1,1,1,0,1,6,0,2,61,64,"0"
"132",0,51,17,1,10,2,26,0,0,1,0,2,92,1,"0"
"367",1,159,46,1,9,4,2,0,0,1,0,1,53,1,"0"
"472",1,285,130,2,9,8,127,1,1,13,0,2,1,138,"1"
"20",0,69,111,2,11,4,60,1,1,8,0,2,41,202,"1"
"223",1,99,19,2,8,4,8,1,1,8,1,2,30,214,"1"
"438",1,175,109,2,11,8,93,1,1,13,1,2,132,150,"1"
"1",1,65,168,2,4,4,39,0,0,1,1,2,32,161,"0"
"187",1,215,87,2,8,5,85,1,0,1,1,1,98,1,"0"
"668",0,94,40,2,1,1,1,1,0,1,0,2,24,1,"0"
"371",0,51,73,2,6,4,2,1,0,1,0,2,32,1,"1"
"211",0,141,16,2,4,4,15,1,1,5,0,2,124,115,"1"
"66",1,253,149,2,14,8,107,1,1,9,0,2,1,1,"1"
"172",0,33,141,1,8,4,26,1,1,5,1,2,24,115,"1"
"591",1,216,68,2,13,4,5,0,0,1,1,2,1,116,"0"
"432",1,170,87,1,13,4,37,0,0,1,1,2,38,1,"0"
"547",1,292,62,2,1,1,8,0,0,1,0,2,69,4,"0"
"666",1,163,87,1,3,4,3,0,0,1,1,2,134,1,"0"
"143",1,32,83,1,1,1,1,0,0,1,1,2,63,2,"0"
"358",1,6,76,2,9,4,3,0,1,2,0,2,1,7,"0"
"489",1,299,151,2,3,5,1,1,1,12,0,2,1,163,"1"
"256",1,47,54,2,8,4,52,1,1,2,0,2,32,66,"1"
"286",1,96,51,2,14,4,41,1,1,2,1,2,128,21,"1"
"97",0,228,50,2,6,4,7,0,0,1,0,2,1,106,"0"
